model,ok,n_vertices,n_edges,vertex_degrees,cycle_length,num_cycles,num_endpoints,note
augmented-dodecahedron.json,False,21,35,"3,4,5",,,,No equal even-length cycle decomposition found.
augmented-hexagonal-prism.json,False,13,22,"3,4",,,,No equal even-length cycle decomposition found.
augmented-pentagonal-prism.json,False,11,19,"3,4",,,,No equal even-length cycle decomposition found.
augmented-sphenocorona.json,False,11,26,"4,5",,,,No equal even-length cycle decomposition found.
augmented-triangular-prism.json,False,7,13,"3,4",,,,No equal even-length cycle decomposition found.
augmented-tridiminished-icosahedron.json,False,10,18,"3,4",,,,No equal even-length cycle decomposition found.
augmented-truncated-cube.json,False,28,48,"3,4",,,,No equal even-length cycle decomposition found.
augmented-truncated-dodecahedron.json,False,65,105,"3,4",,,,No equal even-length cycle decomposition found.
augmented-truncated-tetrahedron.json,False,15,27,"3,4",,,,No equal even-length cycle decomposition found.
biaugmented-pentagonal-prism.json,False,12,23,"3,4",,,,No equal even-length cycle decomposition found.
biaugmented-triangular-prism.json,False,8,17,"4,5",,,,No equal even-length cycle decomposition found.
biaugmented-truncated-cube.json,False,32,60,"3,4",,,,No equal even-length cycle decomposition found.
bigyrate-diminished-rhombicosidodecahedron.json,False,55,105,"3,4",,,,No equal even-length cycle decomposition found.
bilunabirotunda.json,False,14,26,"3,4",,,,No equal even-length cycle decomposition found.
cube.json,False,8,12,3,,,,No equal even-length cycle decomposition found.
cuboctahedron.json,True,12,24,4,6,4,4,
decagonal-antiprism.json,False,20,40,4,,,,No equal even-length cycle decomposition found.
decagonal-prism.json,False,20,30,3,,,,No equal even-length cycle decomposition found.
diminished-rhombicosidodecahedron.json,False,55,105,"3,4",,,,No equal even-length cycle decomposition found.
disphenocingulum.json,False,16,38,"4,5",,,,No equal even-length cycle decomposition found.
dodecahedron.json,False,20,30,3,,,,No equal even-length cycle decomposition found.
elongated-pentagonal-bipyramid.json,False,12,25,"4,5",,,,No equal even-length cycle decomposition found.
elongated-pentagonal-cupola.json,False,25,45,"3,4",,,,No equal even-length cycle decomposition found.
elongated-pentagonal-gyrobicupola.json,True,30,60,4,12,5,6,
elongated-pentagonal-gyrobirotunda.json,False,40,80,4,,,,No equal even-length cycle decomposition found.
elongated-pentagonal-gyrocupolarotunda.json,False,35,70,4,,,,No equal even-length cycle decomposition found.
elongated-pentagonal-orthobicupola.json,True,30,60,4,12,5,6,
elongated-pentagonal-orthobirotunda.json,False,40,80,4,,,,No equal even-length cycle decomposition found.
elongated-pentagonal-orthocupolarotunda.json,True,35,70,4,10,7,9,
elongated-pentagonal-pyramid.json,False,11,20,"3,4,5",,,,No equal even-length cycle decomposition found.
elongated-pentagonal-rotunda.json,False,30,55,"3,4",,,,No equal even-length cycle decomposition found.
elongated-square-bipyramid.json,False,10,20,4,,,,No equal even-length cycle decomposition found.
elongated-square-cupola.json,False,20,36,"3,4",,,,No equal even-length cycle decomposition found.
elongated-square-gyrobicupola.json,False,24,48,4,,,,No equal even-length cycle decomposition found.
elongated-square-pyramid.json,False,9,16,"3,4",,,,No equal even-length cycle decomposition found.
elongated-triangular-bipyramid.json,False,8,15,"3,4",,,,No equal even-length cycle decomposition found.
elongated-triangular-cupola.json,False,15,27,"3,4",,,,No equal even-length cycle decomposition found.
elongated-triangular-gyrobicupola.json,False,18,36,4,,,,No equal even-length cycle decomposition found.
elongated-triangular-orthobicupola.json,True,18,36,4,4,9,12,
elongated-triangular-pyramid.json,False,7,12,"3,4",,,,No equal even-length cycle decomposition found.
gyrate-bidiminished-rhombicosidodecahedron.json,False,50,90,"3,4",,,,No equal even-length cycle decomposition found.
